,intensity,return_period
15980,476024.3507782032,451.0
13617,476024.3507782032,225.5
10305,476024.3507782032,150.33333333333334
11147,476024.3507782032,112.75
10302,476024.3507782032,90.2
11145,447415.78328804893,75.16666666666667
15838,152317.35995304762,64.42857142857144
15837,152317.35995304762,56.375000000000014
14182,147644.40282384,50.11111111111112
15976,104825.80185341551,45.10000000000001
11149,104825.80185341551,41.00000000000001
11152,104825.80185341551,37.58333333333334
15832,104825.80185341551,34.6923076923077
14430,88413.28307389979,32.21428571428572
13579,44695.251020865246,30.066666666666677
14708,36899.21067255359,28.187500000000007
15833,31454.748264602502,26.529411764705884
15829,31454.748264602502,25.055555555555557
10296,31454.748264602502,23.736842105263158
13734,31454.748264602502,22.549999999999997
13732,31454.748264602502,21.476190476190474
13735,30545.618265853325,20.499999999999996
11144,27974.58704224698,19.60869565217391
13616,24748.07986589485,18.79166666666666
15836,16233.063053092126,18.039999999999996
15834,13522.040380608236,17.34615384615384
14422,6181.563117808739,16.7037037037037
14189,3325.0490504390204,16.10714285714285
